@relation PL
@ATTRIBUTE HomeValue NUMERIC
@ATTRIBUTE AwayValue NUMERIC
@ATTRIBUTE HomePtsSeas NUMERIC
@ATTRIBUTE AwayPtsSeas NUMERIC
@ATTRIBUTE HomePtsLast NUMERIC
@ATTRIBUTE AwayPtsLast NUMERIC
@ATTRIBUTE HomePtsHome NUMERIC
@ATTRIBUTE AwayPtsAway NUMERIC
@ATTRIBUTE HomeGoalsSeas NUMERIC
@ATTRIBUTE AwayGoalsSeas NUMERIC
@ATTRIBUTE HomeGoalsLast NUMERIC
@ATTRIBUTE AwayGoalsLast NUMERIC
@ATTRIBUTE HomeGoalsHome NUMERIC
@ATTRIBUTE AwayGoalsAway NUMERIC
@ATTRIBUTE HomeGoalsConcSeas NUMERIC
@ATTRIBUTE AwayGoalsConcSeas NUMERIC
@ATTRIBUTE HomeGoalsConcLast NUMERIC
@ATTRIBUTE AwayGoalsConcLast NUMERIC
@ATTRIBUTE HomeGoalsConcHome NUMERIC
@ATTRIBUTE AwayGoalsConcAway NUMERIC
@ATTRIBUTE Winner {H, D, A}
@data
0.61,2.39,1.05,1.26,2,1,1.33,1.11,1.16,1.37,1.33,1.67,1.22,1,1.68,1.21,1.33,1.33,1.11,1.11,H
0.61,4.57,1.05,1.41,1,0.33,1.5,1.36,1.09,1.14,0.67,1,1.2,1,1.73,1.27,2,2,1,1.18,A
0.61,1.4,0.90,0.83,1.33,0.33,1.13,0.47,1.03,0.97,0.33,0.67,1.27,0.47,1.74,1.83,0.33,1.67,1.47,2.2,H
0.61,1.47,0.82,1.18,0,1,0.8,1,1.36,1.09,1,0.67,1.2,1.2,2.09,1.36,3,1.67,1.6,1.6,H
2.11,5.58,2.15,2.08,3,2.33,2.17,1.86,2.15,1.46,2.67,1.33,2.17,1.43,1.54,0.69,1,0.33,1.83,1.14,D
2.11,1.22,2.05,1.05,1.33,1.33,2,1,1.95,1.16,1,0.67,1.78,1.2,1.32,1.79,1,1,1.44,2.1,D
2.11,2.37,2.18,1.62,3,1,2.19,1.5,1.73,1.62,1.33,2.33,1.62,1.56,0.94,1.25,0,2.33,0.94,1.31,D
2.11,0.61,2.04,0.92,2,0.33,2.08,0.62,1.85,1.15,2,0.67,1.75,0.92,1.12,1.92,1,2.33,1.08,2.31,H
2.11,1.72,1.78,1.67,1.33,2,1.75,2.25,2.11,1.33,2,1.33,2.5,1.5,1.89,1.11,2.67,1,2.5,0.75,H
2.11,6.4,2.11,1.94,2,2,2.12,1.38,2.06,2.06,1.67,2.33,2,1,1.39,1.11,1.33,1.33,1.62,1,D
2.11,1.05,2.07,1.30,2,2,2.15,1.23,1.81,1,1.67,1.33,1.69,0.69,1.07,1.26,1,1,1,1.08,D
2.11,1.27,2,1.45,2.33,2,2,1.6,2.09,0.91,2,1.33,2.2,1.4,1.73,0.91,1.33,1,2,1.2,H
2.11,5.74,2,1.67,1.67,2,2.33,2,2.17,0.83,2,1,2.67,1,1.5,0.83,1.67,0.67,1.67,1,A
2.11,5.97,2.13,1,2.33,1.33,2,0.71,2.13,1.13,2.33,0.33,2,1,1.4,1.6,0.33,0.33,1.71,1.86,H
2.11,1.52,2,1.5,1.67,1.33,1.9,1.45,1.77,1.09,0.67,1.33,1.6,1,1.18,1,0.33,1,1.3,1.09,H
2.11,2.39,2.13,1.52,3,2.33,2.13,1.33,1.74,1.32,1,2,1.67,0.87,1,1.03,0,1.33,1,0.93,H
2.11,4.57,2.04,1.48,2.33,1.33,2,1.5,1.83,1.3,1.67,2.67,1.73,1.33,1.13,1.39,0.33,2.67,1.18,1.42,H
2.11,1.4,2.07,0.86,2.33,0,2.07,0.5,1.79,1,1.33,0.67,1.71,0.5,1.07,1.89,0.67,3,1.07,2.29,H
1.72,5.58,1.5,2,1,1.33,1.2,1.8,1.2,1.5,1,1,1.2,1.6,1.1,0.8,1.33,1,1.4,1.4,D
1.72,1.22,1.35,1.09,0,1.33,1.17,1,1.04,1.17,0.33,1.67,1.08,1.08,1.17,1.65,2.67,1.33,1.25,1.83,A
1.72,2.37,1.88,1.75,2,1.67,1.5,2.5,1.38,2.12,1,2,1.25,2.25,0.88,1.38,0.33,1.67,1,0.75,A
1.72,0.61,1.10,0.97,0.33,2.33,0.88,0.69,1.1,1.09,1,1.33,1,0.81,1.35,1.75,1.67,0.67,1.38,2,H
1.72,2.11,1.14,2.1,0.33,2.33,0.93,2.07,1.1,1.77,1.67,1.33,1.07,1.87,1.34,1.03,2.33,0.67,1.4,1.07,A
1.72,4.63,1.41,1.77,0,1.33,1.27,1.7,1.05,1.73,0,1.67,1.09,1.6,1.09,0.82,2.67,1,1.09,0.9,A
1.72,2.95,1.16,1.26,1.33,0.33,1,1.53,1.09,1.68,1,0.33,1,1.53,1.31,1.39,1,1.33,1.29,1,D
1.72,1.05,1.71,1.14,1,1.33,1,2.33,1.29,0.86,0.33,1,1,0.67,1,1.29,0.67,1,1.33,0,H
