HomeValue,AwayValue,HomePtsSeas,AwayPtsSeas,HomePtsLast,AwayPtsLast,HomePtsHome,AwayPtsAway,HomeGoalsSeas,AwayGoalsSeas,HomeGoalsLast,AwayGoalsLast,HomeGoalsHome,AwayGoalsAway,HomeGoalsExpected,AwayGoalsExpected,HomeGoalsConcSeas,AwayGoalsConcSeas,HomeGoalsConcLast,AwayGoalsConcLast,HomeGoalsConcHome,AwayGoalsConcAway,HomeGoalsExpectedConc,AwayGoalsExpectedConc,HomeGoalsExpectedVsTeam,AwayGoalsExpectedVsTeam,HomeTotalShots,AwayTotalShots,HomeShotsTarget,AwayShotsTarget,HomeTotalShotsAgst,AwayTotalShotsAgst,HomeShotsTargetAgst,AwayShotsTargetAgst,HomeTotalShotsVsTeam,AwayTotalShotsVsTeam,HomeShotsTargetVsTeam,AwayShotsTargetVsTeam,HomePossession,AwayPossession,HomeExpectedWin,AwayExpectedWin,HomeTrend,AwayTrend,HomeWeightedPoints,AwayWeightedPoints,ChanceCreationHome,ChanceCreationAway,ShotsAccuracyHome,ShotsAccuracyAway,ScoringRateHome,ScoringRateAway,KeeperStrengthHome,KeeperStrengthAway,Round,Winner,Over2.5
0.0435,0.0559,0.1,0.16,0.13,0.2,0.15,0.02,0.06,0.15,0.1,0.17,0.08,0.02,0.08,0.11,0.16,0.12,0.1,0.07,0.12,0.18,0.13,0.12,0.1,0.12,0.09,0.16,0.03,0.06,0.14,0.11,0.05,0.04,0.1,0.15,0.04,0.06,0.46,0.62,0.37,0.37,0,-0.01,0.0252,0.0358,0.048,0.04,0.029,0.025,0.053,0.042,0.088,0.089,0.08,A,TRUE
0.0266,0.0105,0.11,0.12,0.03,0.07,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.08,0.1,0.09,0.11,0.11,0.17,0.17,0.14,0.15,0.14,0.14,0.12,0.11,0.12,0.1,0.04,0.03,0.13,0.14,0.05,0.04,0.13,0.11,0.04,0.04,0.52,0.4,0.35,0.44,0,0,0.0235,0.0209,0.044,0.041,0.031,0.033,0.043,0.034,0.116,0.121,0.08,H,FALSE
0.0147,0.0333,0.1,0.08,0.1,0.07,0.08,0.05,0.06,0.12,0.1,0.1,0.08,0.1,0.08,0.11,0.1,0.16,0.1,0.13,0.18,0.18,0.12,0.16,0.12,0.12,0.09,0.11,0.03,0.04,0.14,0.13,0.05,0.04,0.11,0.13,0.04,0.05,0.45,0.48,0.26,0.27,0.01,0,0.0237,0.0063,0.051,0.042,0.031,0.028,0.046,0.032,0.142,0.079,0.08,A,TRUE
0.0152,0.0164,0.1,0.05,0.1,0.03,0.18,0,0.11,0.05,0.13,0.03,0.12,0.02,0.12,0.04,0.22,0.15,0.4,0.1,0.18,0.18,0.27,0.14,0.13,0.15,0.1,0.12,0.03,0.04,0.15,0.14,0.06,0.05,0.12,0.14,0.04,0.05,0.41,0.48,0.36,0.38,-0.01,-0.01,0.0429,0.0064,0.041,0.039,0.029,0.029,0.031,0.083,0.068,0.096,0.08,A,TRUE
0.0176,0.0215,0.14,0.04,0.07,0.1,0.18,0,0.11,0.02,0.1,0.07,0.15,0,0.12,0.03,0.1,0.22,0.13,0.33,0.1,0.28,0.11,0.28,0.2,0.07,0.12,0.12,0.04,0.04,0.13,0.12,0.04,0.05,0.12,0.13,0.04,0.04,0.42,0.45,0.35,0.54,0,0.01,0.0365,0.0328,0.035,0.036,0.03,0.032,0.035,0.154,0.126,0.055,0.08,H,FALSE
0.1006,0.0082,0.28,0.16,0.3,0.17,0.25,0.2,0.36,0.1,0.43,0.07,0.45,0.15,0.41,0.11,0.05,0.08,0.07,0.03,0.08,0.1,0.06,0.07,0.24,0.08,0.17,0.1,0.07,0.03,0.06,0.15,0.02,0.04,0.16,0.08,0.06,0.03,0.72,0.44,0.49,0.33,0.06,0,0.1003,0.083,0.042,0.044,0.025,0.029,0.019,0.035,0.122,0.2,0.08,H,TRUE
0.0051,0.0855,0.11,0.25,0.03,0.23,0.12,0.2,0.06,0.26,0,0.17,0.05,0.18,0.04,0.2,0.11,0.02,0.2,0,0.12,0.05,0.15,0.02,0.03,0.17,0.1,0.13,0.03,0.05,0.12,0.11,0.04,0.04,0.1,0.13,0.03,0.04,0.46,0.55,0.4,0.37,-0.02,0,0.0232,0.0762,0.048,0.041,0.033,0.029,0.046,0.018,0.103,0.459,0.08,H,TRUE
0.0874,0.0165,0.16,0.19,0.1,0.23,0.1,0.25,0.16,0.16,0.17,0.2,0.1,0.2,0.14,0.19,0.1,0.16,0.1,0.13,0.1,0.08,0.1,0.12,0.13,0.14,0.16,0.12,0.06,0.04,0.1,0.11,0.03,0.04,0.13,0.11,0.05,0.03,0.56,0.5,0.37,0.27,-0.02,0.01,0.0728,0.0559,0.035,0.043,0.028,0.032,0.036,0.022,0.099,0.067,0.08,H,TRUE
0.0286,0.0061,0.1,0.1,0.13,0.13,0.2,0.02,0.1,0.08,0.13,0.07,0.17,0.02,0.13,0.06,0.18,0.12,0.13,0.1,0.1,0.15,0.14,0.12,0.13,0.1,0.1,0.1,0.04,0.03,0.15,0.14,0.05,0.05,0.12,0.12,0.04,0.04,0.45,0.44,0.45,0.38,0,0,0.0098,0.018,0.046,0.044,0.028,0.032,0.035,0.041,0.085,0.114,0.08,A,TRUE
0.0082,0.0176,0.14,0.16,0.13,0.17,0.12,0.1,0.09,0.11,0.07,0.13,0.05,0.08,0.07,0.11,0.1,0.09,0.13,0.1,0.05,0.1,0.09,0.1,0.08,0.1,0.1,0.12,0.03,0.04,0.15,0.13,0.04,0.04,0.11,0.13,0.04,0.04,0.44,0.42,0.33,0.35,-0.01,0.01,0.0738,0.0396,0.044,0.035,0.029,0.03,0.039,0.035,0.15,0.141,0.09,H,FALSE
