HomeValue,HomeNormValue,AwayValue,AwayNormValue,HomePtsSeas,AwayPtsSeas,HomePtsLast,AwayPtsLast,HomePtsHome,AwayPtsAway,HomeGoalsSeas,AwayGoalsSeas,HomeGoalsLast,AwayGoalsLast,HomeGoalsHome,AwayGoalsAway,HomeGoalsExpected,AwayGoalsExpected,HomeGoalsConcSeas,AwayGoalsConcSeas,HomeGoalsConcLast,AwayGoalsConcLast,HomeGoalsConcHome,AwayGoalsConcAway,HomeGoalsExpectedConc,AwayGoalsExpectedConc,HomeGoalsExpectedVsTeam,AwayGoalsExpectedVsTeam,HomeTotalShots,AwayTotalShots,HomeShotsTarget,AwayShotsTarget,HomeTotalShotsAgst,AwayTotalShotsAgst,HomeShotsTargetAgst,AwayShotsTargetAgst,HomeTotalShotsVsTeam,AwayTotalShotsVsTeam,HomeShotsTargetVsTeam,AwayShotsTargetVsTeam,HomePossession,AwayPossession,HomeExpectedWin,AwayExpectedWin,HomeTrend,AwayTrend,HomeWeightedPoints,AwayWeightedPoints,ChanceCreationHome,ChanceCreationAway,ShotsAccuracyHome,ShotsAccuracyAway,ScoringRateHome,ScoringRateAway,KeeperStrengthHome,KeeperStrengthAway,Round,HomeTeamOdds,DrawOdds,AwayTeamOdds,isHomeFavorite,isAwayFavorite,HomeWon,AwayWon,Favorite,Winner,FavoriteWins,Over2.5
0.0077,0.77,0.0874,8.74,0.11,0.27,0.17,0.3,0.12,0.23,0.1,0.25,0.13,0.2,0.12,0.25,0.12,0.23,0.16,0.09,0.07,0.07,0.12,0.13,0.11,0.1,0.11,0.17,0.11,0.15,0.03,0.06,0.16,0.11,0.05,0.03,0.11,0.15,0.03,0.05,0.46,0.55,0.4,0.36,0,0.03,0.0324,0.0879,0.043,0.037,0.033,0.026,0.033,0.022,0.102,0.118,0.12,8.66,5.03,1.36,0,1,0,0,A,D,0,0
0.0215,2.15,0.0834,8.34,0.1,0.19,0.07,0.23,0.13,0.16,0.09,0.19,0.1,0.17,0.12,0.18,0.11,0.18,0.16,0.09,0.17,0.07,0.15,0.12,0.16,0.09,0.1,0.17,0.12,0.16,0.04,0.06,0.12,0.09,0.05,0.03,0.11,0.14,0.04,0.05,0.45,0.62,0.54,0.38,-0.01,0.01,0.0307,0.0604,0.036,0.038,0.032,0.029,0.041,0.029,0.08,0.105,0.27,8.8,5.27,1.36,0,1,0,1,A,A,1,0
0.007,0.7,0.1006,10.06,0.07,0.21,0.03,0.2,0.1,0.22,0.08,0.21,0.1,0.2,0.11,0.24,0.1,0.22,0.21,0.12,0.23,0.17,0.19,0.14,0.21,0.14,0.12,0.21,0.1,0.17,0.03,0.06,0.17,0.08,0.06,0.03,0.09,0.17,0.03,0.06,0.46,0.65,0.26,0.54,-0.02,0.02,0.0155,0.0542,0.044,0.039,0.031,0.029,0.04,0.027,0.078,0.066,0.17,9.08,5.02,1.37,0,1,0,1,A,A,1,1
0.0077,0.77,0.0855,8.55,0.07,0.19,0.03,0.17,0.09,0.21,0.08,0.15,0,0.13,0.09,0.17,0.06,0.15,0.18,0.08,0.1,0.07,0.17,0.1,0.15,0.08,0.07,0.15,0.1,0.16,0.03,0.06,0.18,0.09,0.07,0.03,0.1,0.17,0.03,0.06,0.4,0.56,0.26,0.37,-0.02,0,0.0168,0.0474,0.039,0.036,0.032,0.028,0.04,0.037,0.1,0.113,0.295,8.87,4.96,1.38,0,1,0,1,A,A,1,1
0.0435,4.35,0.1006,10.06,0.13,0.27,0.2,0.3,0.19,0.25,0.12,0.28,0.17,0.2,0.17,0.23,0.15,0.24,0.16,0.07,0.1,0,0.12,0.07,0.13,0.04,0.1,0.18,0.09,0.17,0.03,0.07,0.14,0.06,0.05,0.02,0.08,0.16,0.03,0.06,0.46,0.72,0.37,0.49,0.02,0.04,0.0289,0.09,0.048,0.042,0.029,0.025,0.027,0.024,0.088,0.091,0.305,9.32,5.18,1.38,0,1,0,1,A,A,1,1
0.0051,0.51,0.0855,8.55,0.11,0.25,0.03,0.23,0.12,0.2,0.06,0.26,0,0.17,0.05,0.18,0.04,0.2,0.11,0.02,0.2,0,0.12,0.05,0.15,0.02,0.03,0.17,0.1,0.13,0.03,0.05,0.12,0.11,0.04,0.04,0.1,0.13,0.03,0.04,0.46,0.55,0.4,0.37,-0.02,0,0.0232,0.0762,0.048,0.041,0.033,0.029,0.046,0.018,0.103,0.459,0.08,9.28,4.7,1.39,0,1,1,0,A,H,0,1
0.0072,0.72,0.1006,10.06,0.04,0.23,0,0.23,0.02,0.2,0.09,0.24,0.07,0.23,0.06,0.14,0.07,0.2,0.18,0.08,0.23,0.07,0.14,0.08,0.19,0.08,0.07,0.19,0.07,0.12,0.03,0.06,0.1,0.07,0.05,0.03,0.07,0.11,0.03,0.05,0.47,0.57,0.3,0.34,-0.07,0.01,0.0052,0.0676,0.063,0.049,0.025,0.021,0.033,0.024,0.057,0.086,0.11,8.06,4.84,1.41,0,1,0,0,A,D,0,0
0.005,0.5,0.0874,8.74,0.08,0.23,0.13,0.23,0.12,0.21,0.12,0.21,0.27,0.2,0.13,0.22,0.17,0.21,0.18,0.09,0.2,0.13,0.14,0.13,0.17,0.12,0.14,0.19,0.14,0.15,0.04,0.06,0.16,0.11,0.06,0.03,0.12,0.16,0.04,0.06,0.45,0.55,0.27,0.36,0,0.02,0.013,0.0676,0.032,0.037,0.035,0.026,0.033,0.027,0.09,0.125,0.31,8.14,4.71,1.41,0,1,0,1,A,A,1,0
0.0051,0.51,0.0834,8.34,0.15,0.18,0.07,0.23,0.17,0.3,0.08,0.17,0.03,0.2,0.07,0.27,0.06,0.21,0.05,0.08,0.1,0.07,0.03,0.07,0.06,0.07,0.07,0.14,0.1,0.16,0.03,0.06,0.12,0.09,0.04,0.03,0.09,0.14,0.03,0.05,0.46,0.62,0.4,0.38,0,0.01,0.0309,0.0487,0.048,0.038,0.033,0.029,0.035,0.034,0.231,0.113,0.06,8.64,4.65,1.41,0,1,0,1,A,A,1,1
0.0164,1.64,0.1006,10.06,0.11,0.2,0.03,0.23,0.15,0.2,0.15,0.2,0.17,0.27,0.18,0.22,0.16,0.23,0.2,0.12,0.33,0.1,0.16,0.13,0.23,0.12,0.14,0.23,0.12,0.17,0.04,0.06,0.15,0.08,0.05,0.03,0.1,0.16,0.04,0.05,0.51,0.65,0.43,0.54,-0.02,0.02,0.0348,0.0492,0.044,0.039,0.028,0.029,0.029,0.028,0.074,0.065,0.24,7.34,5.09,1.42,0,1,0,1,A,A,1,0
