@relation PL
@ATTRIBUTE HomeValue NUMERIC
@ATTRIBUTE AwayValue NUMERIC
@ATTRIBUTE HomePtsSeas NUMERIC
@ATTRIBUTE AwayPtsSeas NUMERIC
@ATTRIBUTE HomePtsLast NUMERIC
@ATTRIBUTE AwayPtsLast NUMERIC
@ATTRIBUTE HomePtsHome NUMERIC
@ATTRIBUTE AwayPtsAway NUMERIC
@ATTRIBUTE HomeGoalsSeas NUMERIC
@ATTRIBUTE AwayGoalsSeas NUMERIC
@ATTRIBUTE HomeGoalsLast NUMERIC
@ATTRIBUTE AwayGoalsLast NUMERIC
@ATTRIBUTE HomeGoalsHome NUMERIC
@ATTRIBUTE AwayGoalsAway NUMERIC
@ATTRIBUTE HomeGoalsExpected NUMERIC
@ATTRIBUTE AwayGoalsExpected NUMERIC
@ATTRIBUTE HomeGoalsConcSeas NUMERIC
@ATTRIBUTE AwayGoalsConcSeas NUMERIC
@ATTRIBUTE HomeGoalsConcLast NUMERIC
@ATTRIBUTE AwayGoalsConcLast NUMERIC
@ATTRIBUTE HomeGoalsConcHome NUMERIC
@ATTRIBUTE AwayGoalsConcAway NUMERIC
@ATTRIBUTE HomeGoalsExpectedConc NUMERIC
@ATTRIBUTE AwayGoalsExpectedConc NUMERIC
@ATTRIBUTE HomeGoalsExpectedVsTeam NUMERIC
@ATTRIBUTE AwayGoalsExpectedVsTeam NUMERIC
@ATTRIBUTE HomeTotalShots NUMERIC
@ATTRIBUTE AwayTotalShots NUMERIC
@ATTRIBUTE HomeShotsTarget NUMERIC
@ATTRIBUTE AwayShotsTarget NUMERIC
@ATTRIBUTE HomeTotalShotsAgst NUMERIC
@ATTRIBUTE AwayTotalShotsAgst NUMERIC
@ATTRIBUTE HomeShotsTargetAgst NUMERIC
@ATTRIBUTE AwayShotsTargetAgst NUMERIC
@ATTRIBUTE HomeTotalShotsVsTeam NUMERIC
@ATTRIBUTE AwayTotalShotsVsTeam NUMERIC
@ATTRIBUTE HomeShotsTargetVsTeam NUMERIC
@ATTRIBUTE AwayShotsTargetVsTeam NUMERIC
@ATTRIBUTE HomePossession NUMERIC
@ATTRIBUTE AwayPossession NUMERIC
@ATTRIBUTE HomeExpectedWin NUMERIC
@ATTRIBUTE AwayExpectedWin NUMERIC
@ATTRIBUTE HomeTrend NUMERIC
@ATTRIBUTE AwayTrend NUMERIC
@ATTRIBUTE HomeWeightedPoints NUMERIC
@ATTRIBUTE AwayWeightedPoints NUMERIC
@ATTRIBUTE ChanceCreationHome NUMERIC
@ATTRIBUTE ChanceCreationAway NUMERIC
@ATTRIBUTE ShotsAccuracyHome NUMERIC
@ATTRIBUTE ShotsAccuracyAway NUMERIC
@ATTRIBUTE ScoringRateHome NUMERIC
@ATTRIBUTE ScoringRateAway NUMERIC
@ATTRIBUTE KeeperStrengthHome NUMERIC
@ATTRIBUTE KeeperStrengthAway NUMERIC
@ATTRIBUTE Round NUMERIC
@ATTRIBUTE Winner {H, D, A}
@ATTRIBUTE Over2.5 {True, False}
@data
0.0164,0.0165,0.1,0.13,0.1,0.2,0.13,0.13,0.13,0.07,0.13,0.1,0.1,0.13,0.12,0.1,0.16,0.09,0.17,0.07,0.07,0.17,0.13,0.11,0.11,0.12,0.08,0.08,0.04,0.04,0.09,0.1,0.04,0.05,0.09,0.09,0.04,0.04,0.52,0.45,0.30,0.36,-0.01,-0.01,0.0203,0.0254,0.061,0.054,0.023,0.023,0.029,0.053,0.056,0.12,0.07,D,False
0.0164,0.0559,0.12,0.19,0.23,0.07,0.12,0.18,0.12,0.15,0.2,0,0.13,0.18,0.15,0.11,0.16,0.09,0.07,0.03,0.14,0.12,0.12,0.08,0.12,0.12,0.08,0.11,0.04,0.06,0.09,0.09,0.04,0.04,0.09,0.1,0.04,0.05,0.52,0.59,0.30,0.45,0.01,0,0.038,0.0626,0.061,0.053,0.023,0.02,0.031,0.037,0.054,0.094,0.24,A,False
0.0164,0.0152,0.11,0.13,0.13,0,0.11,0.12,0.12,0.1,0.1,0,0.12,0.08,0.11,0.06,0.16,0.12,0.13,0.3,0.15,0.14,0.15,0.19,0.15,0.1,0.08,0.09,0.04,0.03,0.09,0.1,0.04,0.05,0.09,0.09,0.04,0.04,0.52,0.5,0.30,0.36,-0.01,-0.03,0.0365,0.0556,0.061,0.058,0.023,0.025,0.032,0.035,0.053,0.082,0.25,A,True
0.0164,0.0266,0.11,0.15,0.03,0.2,0.1,0.13,0.11,0.13,0.03,0.1,0.12,0.08,0.09,0.11,0.16,0.1,0.17,0.07,0.16,0.08,0.16,0.08,0.08,0.13,0.08,0.1,0.04,0.04,0.09,0.09,0.04,0.04,0.09,0.1,0.04,0.04,0.52,0.5,0.30,0.54,0,-0.01,0.0344,0.0468,0.061,0.047,0.023,0.024,0.034,0.034,0.054,0.09,0.27,H,False
0.0164,0.0899,0.12,0.16,0.1,0.13,0.12,0.15,0.12,0.16,0.07,0.23,0.12,0.16,0.1,0.19,0.17,0.14,0.27,0.17,0.17,0.14,0.2,0.15,0.13,0.19,0.08,0.11,0.04,0.05,0.09,0.08,0.04,0.04,0.08,0.1,0.04,0.05,0.52,0.57,0.30,0.3,0.01,0.01,0.0342,0.0539,0.061,0.051,0.023,0.021,0.031,0.033,0.052,0.057,0.32,A,True
0.0164,0.0176,0.07,0.06,0,0.13,0.1,0.02,0.11,0.11,0.07,0.2,0.1,0.02,0.09,0.11,0.22,0.2,0.4,0.17,0.16,0.26,0.26,0.21,0.15,0.18,0.08,0.08,0.04,0.04,0.09,0.1,0.04,0.05,0.09,0.08,0.04,0.04,0.52,0.47,0.30,0.45,-0.03,0,0.0144,0.0212,0.061,0.059,0.023,0.02,0.034,0.037,0.04,0.052,0.11,A,False
0.0164,0.0147,0.12,0.11,0.23,0.2,0.11,0.09,0.12,0.1,0.17,0.13,0.12,0.1,0.14,0.11,0.16,0.13,0.03,0.1,0.15,0.14,0.11,0.12,0.13,0.11,0.08,0.08,0.04,0.04,0.09,0.1,0.04,0.04,0.09,0.09,0.04,0.04,0.52,0.52,0.30,0.45,0.02,0.02,0.0366,0.0362,0.061,0.063,0.023,0.023,0.031,0.038,0.057,0.079,0.29,H,True
0.0286,0.0061,0.2,0.13,0.3,0.13,0.1,0.13,0.22,0.15,0.23,0.13,0.2,0.13,0.22,0.14,0.12,0.17,0.03,0.17,0.2,0.17,0.12,0.17,0.19,0.13,0.11,0.08,0.05,0.03,0.1,0.1,0.04,0.05,0.11,0.09,0.05,0.04,0.48,0.46,0.27,0.27,0.03,0,0.132,0.0296,0.044,0.054,0.022,0.024,0.023,0.023,0.083,0.06,0.06,D,True
0.0286,0.0215,0.17,0.11,0.23,0.03,0.19,0.14,0.16,0.11,0.2,0.1,0.16,0.11,0.17,0.11,0.12,0.13,0.13,0.17,0.1,0.13,0.12,0.14,0.16,0.11,0.11,0.09,0.05,0.04,0.1,0.1,0.04,0.05,0.11,0.1,0.05,0.04,0.48,0.46,0.27,0.27,0,-0.02,0.0776,0.0338,0.044,0.049,0.022,0.023,0.032,0.038,0.083,0.078,0.3,D,True
0.0286,0.0072,0.16,0.06,0.13,0.17,0.16,0.05,0.16,0.08,0.2,0.07,0.16,0.08,0.17,0.08,0.12,0.16,0.17,0.03,0.13,0.2,0.14,0.13,0.15,0.11,0.11,0.07,0.05,0.03,0.1,0.1,0.04,0.05,0.11,0.09,0.05,0.04,0.48,0.47,0.27,0.30,0,0,0.0786,0.0147,0.044,0.063,0.022,0.025,0.032,0.038,0.079,0.063,0.23,H,False
