,0,1,2
800,watch,aux,1
801,uphold,COUNT,1
802,uphold,nsubj,1
803,uphold,dobj,2
804,uphold,advcl,1
805,express,COUNT,1
806,express,aux,1
807,express,dobj,1
808,express,prep,1
809,discontinue,COUNT,2
810,discontinue,advcl,1
811,discontinue,nsubjpass,2
812,discontinue,auxpass,2
813,discontinue,prep,2
814,parent,COUNT,2
815,parent,subtok,1
816,parent,advmod,1
817,parent,agent,1
818,run,COUNT,190
819,run,nsubj,134
820,run,aux,4
821,run,prep,209
822,run,dobj,4
823,run,cc,2
824,run,conj,2
825,run,advcl,3
826,run,advmod,7
827,run,mark,1
828,run,nsubjpass,4
829,run,auxpass,5
830,run,agent,7
831,run,npadvmod,4
832,run,det,2
833,run,compound,1
834,run,amod,5
835,rapper,COUNT,5
836,rapper,amod,1
837,rapper,compound,1
838,spread,COUNT,1
839,spread,prep,1
840,build,COUNT,70
841,build,prt,1
842,build,nsubjpass,40
843,build,auxpass,41
844,build,prep,47
845,build,npadvmod,5
846,build,dobj,6
847,build,agent,13
848,build,mark,2
849,build,aux,7
850,build,advmod,5
851,build,cc,7
852,build,conj,12
853,build,ccomp,1
854,build,nsubj,2
855,build,advcl,2
856,u19,COUNT,1
857,discount,COUNT,1
858,attract,COUNT,2
859,attract,dobj,2
860,assist,COUNT,3
861,assist,npadvmod,2
862,assist,aux,1
863,assist,prep,1
864,ignore,COUNT,1
865,ignore,nsubjpass,1
866,ignore,auxpass,1
867,ignore,advmod,1
868,ignore,prep,2
869,ignore,advcl,1
870,switch,COUNT,5
871,switch,prep,5
872,switch,advcl,1
873,switch,aux,1
874,switch,prt,1
875,switch,dobj,1
876,switch,advmod,1
877,switch,nsubj,2
878,switch,cc,1
879,switch,conj,1
880,lead,COUNT,34
881,lead,ccomp,1
882,lead,dobj,6
883,lead,advmod,1
884,lead,agent,5
885,lead,prep,9
886,lead,advcl,2
887,lead,nsubjpass,1
888,lead,auxpass,1
889,lead,cc,2
890,lead,conj,2
891,lead,nsubj,4
892,lead,aux,3
893,lead,npadvmod,1
